Date,Open,High,Low,Close,Volume
2019-09-19 04:00:00+00:00,158.61,159.3,156.46,157.22,1367000
2019-09-20 04:00:00+00:00,158.01,158.54,154.37,155.5,3094300
2019-09-23 04:00:00+00:00,155.2,158.63,155.2,157.58,1040100
2019-09-24 04:00:00+00:00,159.31,160.55,155.53,156.5,1724700
2019-09-25 04:00:00+00:00,156.35,160.93,156.17,160.59,1198900
2019-09-26 04:00:00+00:00,160.88,162.68,159.94,161.95,1268400
2019-09-27 04:00:00+00:00,160.16,161.32,157.48,158.48,1459100
2019-09-30 04:00:00+00:00,159.46,160.3,157.65,159.45,1115100
2019-10-01 04:00:00+00:00,160.79,162.41,157.73,158.29,917800
2019-10-02 04:00:00+00:00,156.28,157.5,153.63,155.05,1569900
2019-10-03 04:00:00+00:00,155.47,157.69,153.69,156.96,1256200
2019-10-04 04:00:00+00:00,157.64,161.29,157.47,161.11,1165500
2019-10-07 04:00:00+00:00,160.7,162.68,160.2,161.05,908700
2019-10-08 04:00:00+00:00,158.76,159.03,154.33,154.52,1476500
2019-10-09 04:00:00+00:00,157.17,158.81,156.11,157.48,1012000
2019-10-10 04:00:00+00:00,158.02,159.26,156.6,157.4,873300
2019-10-11 04:00:00+00:00,160.97,162.49,158.93,160.22,1174700
2019-10-14 04:00:00+00:00,159.62,160.95,158.31,159.0,1124400
2019-10-15 04:00:00+00:00,160.08,163.54,159.58,162.56,870900
2019-10-16 04:00:00+00:00,160.8,161.97,159.08,159.64,1275000
2019-10-17 04:00:00+00:00,162.71,167.95,161.04,161.51,1611700
2019-10-18 04:00:00+00:00,160.63,162.02,158.32,159.69,1219600
2019-10-21 04:00:00+00:00,160.31,164.29,159.87,164.0,1776400
2019-10-22 04:00:00+00:00,163.88,164.85,162.34,162.82,1183900
2019-10-23 04:00:00+00:00,161.14,162.22,158.27,158.72,1110100
2019-10-24 04:00:00+00:00,164.0,168.95,163.46,168.74,1812400
2019-10-25 04:00:00+00:00,167.69,170.29,166.8,169.94,1101700
2019-10-28 04:00:00+00:00,171.02,175.25,171.02,174.78,1586200
2019-10-29 04:00:00+00:00,174.1,175.32,170.19,170.28,1693600
2019-10-30 04:00:00+00:00,171.82,173.94,169.21,172.96,1700300
2019-10-31 04:00:00+00:00,167.67,170.25,160.4,169.04,2595600
2019-11-01 04:00:00+00:00,170.13,173.14,169.27,172.42,1462300
2019-11-04 05:00:00+00:00,174.78,175.43,172.46,174.02,1021500
2019-11-05 05:00:00+00:00,174.17,175.32,171.43,171.98,1715500
2019-11-06 05:00:00+00:00,171.22,172.76,168.33,172.52,1398000
2019-11-07 05:00:00+00:00,173.58,174.0,171.52,171.95,960500
2019-11-08 05:00:00+00:00,170.33,174.28,170.33,174.21,648900
2019-11-11 05:00:00+00:00,173.63,175.34,171.46,174.43,631000
2019-11-12 05:00:00+00:00,175.13,176.23,173.65,174.42,888900
2019-11-13 05:00:00+00:00,174.2,177.35,173.14,176.35,928500
2019-11-14 05:00:00+00:00,175.97,176.97,174.33,176.6,824000
2019-11-15 05:00:00+00:00,178.83,179.95,177.11,177.86,1570100
2019-11-18 05:00:00+00:00,177.59,178.17,176.73,177.0,1064600
2019-11-19 05:00:00+00:00,177.04,178.0,173.5,175.99,1284500
2019-11-20 05:00:00+00:00,176.13,177.15,172.86,173.67,1126400
2019-11-21 05:00:00+00:00,165.86,166.58,159.62,161.59,3498100
2019-11-22 05:00:00+00:00,160.47,162.65,157.84,158.49,2274700
2019-11-25 05:00:00+00:00,160.34,164.22,160.3,163.35,1894000
2019-11-26 05:00:00+00:00,163.85,164.22,161.11,162.13,2034900
2019-11-27 05:00:00+00:00,163.3,166.26,162.14,165.65,1377800
2019-11-29 05:00:00+00:00,165.09,165.57,163.69,163.86,705400
2019-12-02 05:00:00+00:00,163.95,164.24,160.39,161.06,1150600
2019-12-03 05:00:00+00:00,158.0,159.01,155.56,156.38,1975300
2019-12-04 05:00:00+00:00,159.52,160.79,158.0,160.26,1144800
2019-12-05 05:00:00+00:00,160.49,162.83,160.08,161.5,1320600
2019-12-06 05:00:00+00:00,163.49,165.52,162.85,162.89,989300
2019-12-09 05:00:00+00:00,163.33,163.57,160.63,160.88,766800
2019-12-10 05:00:00+00:00,162.29,164.32,161.43,162.37,1189900
2019-12-11 05:00:00+00:00,162.78,167.43,162.68,167.12,934100
2019-12-12 05:00:00+00:00,166.98,171.92,166.7,171.46,1627000
2019-12-13 05:00:00+00:00,170.95,173.09,170.12,171.24,1152800
2019-12-16 05:00:00+00:00,174.74,175.0,172.03,172.06,1306000
2019-12-17 05:00:00+00:00,172.07,176.12,172.07,175.96,1333400
2019-12-18 05:00:00+00:00,175.9,177.47,175.26,175.26,1516300
2019-12-19 05:00:00+00:00,175.7,176.22,172.86,175.46,1187800
2019-12-20 05:00:00+00:00,176.82,177.84,174.97,177.47,2695100
2019-12-23 05:00:00+00:00,178.86,179.24,176.9,177.11,969100
2019-12-24 05:00:00+00:00,177.79,178.19,176.28,178.11,257700
2019-12-26 05:00:00+00:00,178.58,178.8,177.14,178.75,527900
2019-12-27 05:00:00+00:00,179.25,179.71,177.36,178.52,553900
2019-12-30 05:00:00+00:00,178.02,178.92,175.23,178.37,756400
2019-12-31 05:00:00+00:00,177.39,178.51,176.3,178.17,869400
2020-01-02 05:00:00+00:00,180.78,182.7,180.02,182.57,1056900
2020-01-03 05:00:00+00:00,179.33,181.17,177.86,179.08,833400
2020-01-06 05:00:00+00:00,176.32,177.56,174.09,175.05,1266800
2020-01-07 05:00:00+00:00,176.14,177.77,174.3,176.44,1139300
2020-01-08 05:00:00+00:00,176.5,178.66,175.52,176.67,883500
2020-01-09 05:00:00+00:00,178.41,179.42,174.95,175.49,916900
2020-01-10 05:00:00+00:00,176.41,177.43,171.95,173.01,883800
2020-01-13 05:00:00+00:00,173.97,175.11,173.36,175.1,662000
2020-01-14 05:00:00+00:00,175.91,178.22,174.07,177.48,1279600
2020-01-15 05:00:00+00:00,177.09,178.7,175.85,177.92,922800
2020-01-16 05:00:00+00:00,179.5,181.83,179.01,180.91,1197200
2020-01-17 05:00:00+00:00,180.87,180.9,177.36,178.73,1604700
2020-01-21 05:00:00+00:00,177.65,180.89,177.57,178.81,1571400
2020-01-22 05:00:00+00:00,180.0,182.78,179.87,180.13,1084600
2020-01-23 05:00:00+00:00,179.82,182.66,179.12,182.55,1056900
2020-01-24 05:00:00+00:00,183.88,184.5,178.43,179.4,961000
2020-01-27 05:00:00+00:00,174.77,175.23,169.85,170.31,1581300
2020-01-28 05:00:00+00:00,172.2,176.33,171.7,175.93,938100
2020-01-29 05:00:00+00:00,176.35,176.94,171.66,171.72,1028900
2020-01-30 05:00:00+00:00,173.5,175.37,169.57,172.92,1448000
2020-01-31 05:00:00+00:00,171.38,172.75,165.25,165.74,1505700
2020-02-03 05:00:00+00:00,167.27,170.65,167.01,169.93,1181500
2020-02-04 05:00:00+00:00,174.33,178.8,173.84,178.8,1735900
2020-02-05 05:00:00+00:00,176.06,177.79,168.8,171.28,3113100
2020-02-06 05:00:00+00:00,171.43,173.39,170.15,171.74,1370300
2020-02-07 05:00:00+00:00,170.71,171.27,164.76,165.1,1492800
2020-02-10 05:00:00+00:00,164.1,169.01,164.08,168.92,1680300
2020-02-11 05:00:00+00:00,169.21,173.53,168.33,173.04,1269000
2020-02-12 05:00:00+00:00,174.0,176.46,173.85,175.97,957700
2020-02-13 05:00:00+00:00,175.68,180.08,174.91,178.72,1158000
2020-02-14 05:00:00+00:00,179.12,179.76,174.89,176.28,864800
2020-02-18 05:00:00+00:00,167.0,172.0,166.67,169.23,1778300
2020-02-19 05:00:00+00:00,172.21,174.82,171.0,172.98,1069300
2020-02-20 05:00:00+00:00,171.74,172.42,165.67,167.3,1664400
2020-02-21 05:00:00+00:00,165.67,166.25,160.81,161.12,1909900
2020-02-24 05:00:00+00:00,154.75,156.86,152.9,153.73,2649600
2020-02-25 05:00:00+00:00,155.28,155.99,147.07,147.41,2046900
2020-02-26 05:00:00+00:00,149.0,150.65,146.22,147.27,1879300
2020-02-27 05:00:00+00:00,142.81,148.38,142.27,147.99,3589700
2020-02-28 05:00:00+00:00,142.09,153.93,142.09,153.71,3695100
2020-03-02 05:00:00+00:00,154.5,159.0,151.71,158.74,2706400
2020-03-03 05:00:00+00:00,156.81,159.29,152.38,153.81,2397400
2020-03-04 05:00:00+00:00,157.09,160.71,154.66,160.71,1493300
2020-03-05 05:00:00+00:00,156.65,158.88,154.48,156.69,1697000
2020-03-06 05:00:00+00:00,152.05,156.14,151.49,155.68,1858400
2020-03-09 04:00:00+00:00,144.98,150.49,144.26,144.92,2815600
2020-03-10 04:00:00+00:00,148.51,154.76,145.58,154.57,2438500
2020-03-11 04:00:00+00:00,150.13,152.22,142.62,144.92,2730500
2020-03-12 04:00:00+00:00,135.24,139.0,125.25,125.36,2672700
2020-03-13 04:00:00+00:00,132.82,145.76,127.89,145.37,2804300
2020-03-16 04:00:00+00:00,128.69,140.48,126.19,129.5,2752300
2020-03-17 04:00:00+00:00,131.87,150.44,125.64,149.63,3213600
2020-03-18 04:00:00+00:00,132.25,143.13,127.36,132.02,2664600
2020-03-19 04:00:00+00:00,131.88,135.42,126.76,127.36,1954800
2020-03-20 04:00:00+00:00,129.71,132.55,113.08,114.02,2632600
2020-03-23 04:00:00+00:00,114.32,120.69,110.19,116.36,2124900
2020-03-24 04:00:00+00:00,121.7,136.55,120.0,136.36,2776100
2020-03-25 04:00:00+00:00,135.72,145.94,134.39,137.47,1703000
2020-03-26 04:00:00+00:00,140.77,150.47,139.06,149.76,1870400
2020-03-27 04:00:00+00:00,145.04,147.17,141.32,142.24,2240600
2020-03-30 04:00:00+00:00,142.07,150.57,142.0,149.52,1623700
2020-03-31 04:00:00+00:00,150.84,150.84,141.53,143.74,2907200
2020-04-01 04:00:00+00:00,138.7,141.22,129.66,131.61,1660800
2020-04-02 04:00:00+00:00,129.57,133.79,129.31,132.44,1346000
2020-04-03 04:00:00+00:00,130.82,132.99,125.56,127.94,1143700
2020-04-06 04:00:00+00:00,135.21,149.21,132.93,148.5,1846000
2020-04-07 04:00:00+00:00,154.1,155.0,146.52,147.27,1454100
2020-04-08 04:00:00+00:00,149.59,153.15,146.91,152.37,1350000
2020-04-09 04:00:00+00:00,152.15,157.87,148.49,150.12,1303800
2020-04-13 04:00:00+00:00,149.5,152.42,148.18,152.09,868300
2020-04-14 04:00:00+00:00,155.1,162.34,153.81,161.73,1274700
2020-04-15 04:00:00+00:00,158.18,158.3,151.11,153.22,1278600
2020-04-16 04:00:00+00:00,158.21,160.75,154.23,156.65,1563000
2020-04-17 04:00:00+00:00,160.93,162.29,157.79,161.21,998100
2020-04-20 04:00:00+00:00,158.79,160.34,156.05,156.3,634800
2020-04-21 04:00:00+00:00,153.44,154.18,147.46,148.59,1284700
2020-04-22 04:00:00+00:00,154.31,159.36,151.29,158.68,1207500
2020-04-23 04:00:00+00:00,158.44,160.84,157.01,159.45,1404500
2020-04-24 04:00:00+00:00,160.98,165.57,158.02,164.92,1492500
2020-04-27 04:00:00+00:00,167.04,169.24,164.64,166.06,1030500
2020-04-28 04:00:00+00:00,168.39,170.77,165.95,166.27,1198900
2020-04-29 04:00:00+00:00,169.93,177.17,168.21,175.89,1518900
2020-04-30 04:00:00+00:00,173.95,175.31,163.97,164.09,1241400
2020-05-01 04:00:00+00:00,158.3,158.89,147.71,150.27,2692500
2020-05-04 04:00:00+00:00,149.68,152.87,147.54,152.0,1473200
2020-05-05 04:00:00+00:00,156.46,160.69,153.96,155.63,1868900
2020-05-06 04:00:00+00:00,163.41,169.13,158.46,163.81,2422700
2020-05-07 04:00:00+00:00,167.37,169.69,163.57,163.84,1682200
2020-05-08 04:00:00+00:00,166.83,172.39,165.68,171.5,1265400
2020-05-11 04:00:00+00:00,169.19,169.95,167.28,168.78,1145800
2020-05-12 04:00:00+00:00,170.22,171.19,165.41,165.57,965300
2020-05-13 04:00:00+00:00,165.37,168.61,160.66,164.07,1805100
2020-05-14 04:00:00+00:00,162.55,176.96,158.89,176.75,2683500
2020-05-15 04:00:00+00:00,168.03,171.62,165.98,167.43,3709900
2020-05-18 04:00:00+00:00,171.81,173.47,168.78,172.31,1492100
2020-05-19 04:00:00+00:00,172.21,177.63,171.14,172.52,1074800
2020-05-20 04:00:00+00:00,175.5,180.21,174.97,177.92,1302600
2020-05-21 04:00:00+00:00,176.13,177.25,171.86,172.43,1001800
2020-05-22 04:00:00+00:00,173.77,173.97,170.4,173.0,666400
2020-05-26 04:00:00+00:00,176.91,180.33,174.69,176.64,1911100
2020-05-27 04:00:00+00:00,178.12,178.9,168.24,176.73,1659600
2020-05-28 04:00:00+00:00,177.66,180.22,173.4,174.61,1272000
2020-05-29 04:00:00+00:00,176.0,177.97,173.57,175.96,1792100
2020-06-01 04:00:00+00:00,175.0,178.4,173.45,175.96,1085400
2020-06-02 04:00:00+00:00,175.3,177.55,172.94,177.29,892600
2020-06-03 04:00:00+00:00,178.84,186.95,178.38,186.05,1659800
2020-06-04 04:00:00+00:00,184.81,189.12,183.69,186.29,1068700
2020-06-05 04:00:00+00:00,190.22,196.25,189.33,192.48,1500200
2020-06-08 04:00:00+00:00,193.62,194.06,188.77,191.87,816400
2020-06-09 04:00:00+00:00,190.54,192.55,188.65,191.03,776000
2020-06-10 04:00:00+00:00,192.43,195.0,190.34,192.77,779600
2020-06-11 04:00:00+00:00,191.32,191.32,179.84,180.58,1460300
2020-06-12 04:00:00+00:00,186.17,188.33,180.07,184.69,1253100
2020-06-15 04:00:00+00:00,178.24,188.13,176.58,187.75,1270800
2020-06-16 04:00:00+00:00,193.86,196.97,188.73,192.99,1482500
2020-06-17 04:00:00+00:00,193.17,196.3,192.17,193.89,1246200
2020-06-18 04:00:00+00:00,194.29,194.29,192.05,193.74,938000
2020-06-19 04:00:00+00:00,196.43,197.5,192.05,193.1,3331000
2020-06-22 04:00:00+00:00,189.35,193.77,189.35,191.86,1179200
2020-06-23 04:00:00+00:00,195.16,195.16,192.29,193.21,1089200
2020-06-24 04:00:00+00:00,192.21,193.0,185.69,188.62,1486600
2020-06-25 04:00:00+00:00,190.91,192.71,187.42,192.35,1133700
2020-06-26 04:00:00+00:00,192.63,193.2,189.04,189.57,1713500
2020-06-29 04:00:00+00:00,190.54,191.75,186.59,191.73,677300
2020-06-30 04:00:00+00:00,191.03,195.86,191.03,194.48,1253500
2020-07-01 04:00:00+00:00,194.48,195.27,191.92,193.15,1262000
2020-07-02 04:00:00+00:00,194.56,198.21,194.27,196.51,1247000
2020-07-06 04:00:00+00:00,199.39,206.51,198.22,203.59,1367400
2020-07-07 04:00:00+00:00,203.48,205.33,201.8,202.69,1311300
2020-07-08 04:00:00+00:00,203.33,205.73,201.18,204.51,748700
2020-07-09 04:00:00+00:00,203.0,206.49,200.64,203.59,1083700
2020-07-10 04:00:00+00:00,203.6,204.2,198.23,202.26,994900
2020-07-13 04:00:00+00:00,204.96,207.78,199.08,199.57,1152500
2020-07-14 04:00:00+00:00,197.81,201.65,194.01,200.93,1612000
2020-07-15 04:00:00+00:00,201.86,204.17,194.31,196.04,1454200
2020-07-16 04:00:00+00:00,193.98,197.48,193.0,196.04,989600
2020-07-17 04:00:00+00:00,198.02,198.38,195.02,197.2,824200
2020-07-20 04:00:00+00:00,197.32,203.97,196.57,203.01,756600
2020-07-21 04:00:00+00:00,203.87,204.68,200.79,203.51,921000
2020-07-22 04:00:00+00:00,204.99,206.87,203.21,205.94,947000
2020-07-23 04:00:00+00:00,205.78,209.3,202.29,203.92,1156100
2020-07-24 04:00:00+00:00,196.39,197.26,187.14,188.21,2477400
2020-07-27 04:00:00+00:00,192.27,197.88,190.19,197.07,1857900
2020-07-28 04:00:00+00:00,195.3,196.93,192.19,192.47,1152000
2020-07-29 04:00:00+00:00,191.5,195.72,190.34,195.13,1479800
2020-07-30 04:00:00+00:00,194.81,199.0,193.75,197.9,1166700
2020-07-31 04:00:00+00:00,200.0,200.0,195.04,199.83,1149000
2020-08-03 04:00:00+00:00,202.59,208.04,202.5,207.65,1804600
2020-08-04 04:00:00+00:00,200.24,205.17,200.15,204.9,1727800
2020-08-05 04:00:00+00:00,206.02,206.2,202.37,203.99,834900
2020-08-06 04:00:00+00:00,203.25,204.2,200.99,203.59,1036700
2020-08-07 04:00:00+00:00,201.86,206.53,200.29,202.85,991000
2020-08-10 04:00:00+00:00,201.4,203.36,198.25,203.09,1018900
2020-08-11 04:00:00+00:00,203.56,204.82,200.05,200.54,745100
2020-08-12 04:00:00+00:00,201.56,208.76,201.11,208.0,823600
2020-08-13 04:00:00+00:00,207.79,210.26,206.42,209.96,1152700
2020-08-14 04:00:00+00:00,210.08,215.2,209.5,211.51,1209400
2020-08-17 04:00:00+00:00,213.19,218.57,212.81,216.63,1320400
2020-08-18 04:00:00+00:00,217.71,217.9,211.37,211.76,842700
2020-08-19 04:00:00+00:00,212.71,212.72,209.49,210.54,734300
2020-08-20 04:00:00+00:00,206.6,208.83,205.08,206.85,915200
2020-08-21 04:00:00+00:00,206.75,206.87,202.11,203.97,1425900
2020-08-24 04:00:00+00:00,207.5,208.67,205.3,208.36,922200
2020-08-25 04:00:00+00:00,208.03,211.18,207.19,210.28,869600
2020-08-26 04:00:00+00:00,209.77,212.66,209.6,212.23,615200
2020-08-27 04:00:00+00:00,213.78,214.14,203.5,204.45,1158900
2020-08-28 04:00:00+00:00,204.79,208.92,203.95,208.61,828900
2020-08-31 04:00:00+00:00,207.78,208.11,203.98,205.14,930100
2020-09-01 04:00:00+00:00,205.89,208.49,204.51,207.95,738100
2020-09-02 04:00:00+00:00,210.68,216.17,209.0,215.54,1171500
2020-09-03 04:00:00+00:00,213.61,214.04,200.25,201.41,1807400
2020-09-04 04:00:00+00:00,199.84,200.43,186.78,193.37,2380600
2020-09-08 04:00:00+00:00,181.19,182.67,173.83,174.47,2919000
2020-09-09 04:00:00+00:00,178.92,179.94,172.85,174.46,2314400
2020-09-10 04:00:00+00:00,176.03,177.35,172.62,173.13,2413000
2020-09-11 04:00:00+00:00,174.87,176.52,171.31,171.94,1318800
2020-09-14 04:00:00+00:00,176.56,178.51,174.99,178.08,1254300
2020-09-15 04:00:00+00:00,179.98,180.94,177.33,180.76,1441300
2020-09-16 04:00:00+00:00,182.4,185.19,180.61,180.81,1624500
2020-09-17 04:00:00+00:00,175.37,180.72,174.7,180.49,1090100
2020-09-18 04:00:00+00:00,181.23,184.55,176.64,178.96,1792800
2020-09-21 04:00:00+00:00,178.36,181.22,175.61,181.1,1099300
2020-09-22 04:00:00+00:00,182.81,183.62,177.54,183.3,837400
2020-09-23 04:00:00+00:00,184.38,186.33,179.96,180.79,1136500
2020-09-24 04:00:00+00:00,178.08,187.56,178.08,184.54,1134100
2020-09-25 04:00:00+00:00,183.71,188.62,181.58,187.91,906900
2020-09-28 04:00:00+00:00,188.14,193.68,186.8,193.25,1348500
2020-09-29 04:00:00+00:00,194.86,195.81,192.6,193.33,762600
2020-09-30 04:00:00+00:00,192.67,196.46,191.05,193.74,1019300
2020-10-01 04:00:00+00:00,197.62,200.21,195.66,198.98,915200
2020-10-02 04:00:00+00:00,192.09,196.32,190.8,191.96,1092100
2020-10-05 04:00:00+00:00,193.28,200.0,192.72,199.95,1242100
2020-10-06 04:00:00+00:00,199.89,205.84,198.68,199.83,1278700
2020-10-07 04:00:00+00:00,203.0,205.69,201.11,202.9,1164800
2020-10-08 04:00:00+00:00,205.49,206.95,204.47,206.69,686000
2020-10-09 04:00:00+00:00,209.98,212.11,208.79,211.04,1199900
2020-10-12 04:00:00+00:00,213.96,215.9,212.6,214.55,1289000
2020-10-13 04:00:00+00:00,215.9,221.66,214.09,219.94,944300
2020-10-14 04:00:00+00:00,220.09,223.54,215.11,216.0,1399000
2020-10-15 04:00:00+00:00,209.39,213.86,208.11,213.09,1168500
2020-10-16 04:00:00+00:00,214.43,214.84,207.6,208.4,1225900
2020-10-19 04:00:00+00:00,212.34,212.34,206.0,206.81,994600
2020-10-20 04:00:00+00:00,208.84,209.3,205.06,205.72,607200
2020-10-21 04:00:00+00:00,205.76,208.86,205.63,206.3,607000
2020-10-22 04:00:00+00:00,205.3,205.95,201.52,203.31,884900
2020-10-23 04:00:00+00:00,205.15,206.49,202.2,203.17,842900
2020-10-26 04:00:00+00:00,200.65,202.42,197.04,198.94,942600
2020-10-27 04:00:00+00:00,200.01,200.49,197.13,198.59,739200
2020-10-28 04:00:00+00:00,194.52,196.24,190.48,190.55,1554800
2020-10-29 04:00:00+00:00,190.4,204.08,190.21,201.95,1351500
2020-10-30 04:00:00+00:00,198.5,201.0,195.34,197.18,1047300
2020-11-02 05:00:00+00:00,199.8,203.22,198.82,202.23,817900
2020-11-03 05:00:00+00:00,205.06,212.4,204.51,210.88,1188100
2020-11-04 05:00:00+00:00,214.31,221.78,210.59,220.53,1356800
2020-11-05 05:00:00+00:00,222.86,228.93,222.86,228.1,1276400
2020-11-06 05:00:00+00:00,228.88,233.28,225.72,231.68,696000
2020-11-09 05:00:00+00:00,237.71,242.6,231.93,232.32,1135000
2020-11-10 05:00:00+00:00,230.0,232.27,223.13,223.73,1071600
2020-11-11 05:00:00+00:00,227.21,234.13,225.7,233.51,994800
2020-11-12 05:00:00+00:00,235.13,236.13,231.31,233.26,895300
2020-11-13 05:00:00+00:00,237.15,240.92,235.51,236.1,892700
2020-11-16 05:00:00+00:00,237.64,242.57,236.37,241.78,882800
2020-11-17 05:00:00+00:00,242.45,243.82,239.7,241.84,1401200
2020-11-18 05:00:00+00:00,243.61,244.74,239.95,240.34,832200
2020-11-19 05:00:00+00:00,236.12,244.37,236.01,243.75,716400
2020-11-20 05:00:00+00:00,244.31,247.39,242.48,242.57,583000
2020-11-23 05:00:00+00:00,243.28,250.44,242.66,250.24,720400
2020-11-24 05:00:00+00:00,250.75,251.7,247.8,250.17,750200
