Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2024-10-03,223.67072564154154,225.3298253274289,221.8626109260752,224.197265625,224.197265625,34044200,AAPL
2024-10-04,226.41269745663615,226.51205091107013,222.66731173997377,225.31988525390625,225.31988525390625,37245100,AAPL
2024-10-07,223.0348997045567,224.21713611955545,219.885589131397,220.2432403564453,220.2432403564453,39505400,AAPL
2024-10-08,222.83622285599392,224.50525191173782,221.79307211654884,224.296630859375,224.296630859375,31855700,AAPL
2024-10-09,223.7601370790405,228.25064364916537,223.36275355639287,228.04200744628906,228.04200744628906,33591100,AAPL
2024-10-10,226.29350107451606,228.00227752622936,225.68748134269669,227.54527282714844,227.54527282714844,28183500,AAPL
2024-10-11,227.80358186995707,227.91286461183438,225.85636623992795,226.06500244140625,226.06500244140625,31759200,AAPL
2024-10-14,227.2075041009655,230.21772915238438,227.1081657950345,229.79054260253906,229.79054260253906,39882100,AAPL
2024-10-15,232.08545910083197,235.9401430278398,230.85354589755886,232.3238983154297,232.3238983154297,64751400,AAPL
2024-10-16,230.0885464878877,230.60514196799298,228.34002283458457,230.26736450195312,230.26736450195312,34082200,AAPL
2024-10-17,231.9066400773438,232.32391251820164,229.0156421145612,230.63499450683594,230.63499450683594,32993800,AAPL
2024-10-18,234.6386615701971,234.6386615701971,232.4828249974097,233.46636962890625,233.46636962890625,46431500,AAPL
2024-10-21,232.9199708414818,235.30431748145634,232.9199708414818,234.9367218017578,234.9367218017578,36254500,AAPL
2024-10-22,232.36362533760988,234.67842149785605,231.0820505913223,234.32077026367188,234.32077026367188,38846600,AAPL
2024-10-23,232.55238437433343,233.60546433739609,226.27362172475395,229.25404357910156,229.25404357910156,52287000,AAPL
2024-10-24,228.4791312160334,229.31366084202813,226.91938502162782,229.06529235839844,229.06529235839844,31109500,AAPL
2024-10-25,228.24072625952675,231.69801159617745,228.07183749564092,229.8998260498047,229.8998260498047,38802300,AAPL
2024-10-28,231.7973512193415,233.19813797949908,231.032372026897,231.87681579589844,231.87681579589844,36087100,AAPL
2024-10-29,231.57877779482254,232.80074647701065,230.80386934668286,232.14505004882812,232.14505004882812,35417200,AAPL
2024-10-30,231.0919876952183,231.9463759413976,228.05195968136482,228.59837341308594,228.59837341308594,47070900,AAPL
2024-10-31,227.84332326136388,228.33013097812315,223.89923027313517,224.4357147216797,224.4357147216797,64370100,AAPL
2024-11-01,219.52794977327943,223.87937072005496,218.83252100898451,221.45529174804688,221.45529174804688,65276700,AAPL
2024-11-04,219.5478246614517,221.33606573362852,218.27617915451208,220.5611572265625,220.5611572265625,44944500,AAPL
2024-11-05,220.35251908634842,222.4884819564664,219.6968226591573,221.9917449951172,221.9917449951172,28111300,AAPL
2024-11-06,221.15724252476647,224.5946691536601,219.74651129717958,221.2665252685547,221.2665252685547,54561100,AAPL
2024-11-07,223.16406118155706,226.39285156162418,223.10445516924474,225.99545288085938,225.99545288085938,42137700,AAPL
2024-11-08,225.9357792784742,227.4176895436531,225.17991383614745,225.7269287109375,225.7269287109375,38328800,AAPL
2024-11-11,223.77757009002366,224.47376393957063,220.29658566640109,223.01174926757812,223.01174926757812,42005600,AAPL
2024-11-12,223.33001798502116,224.36436096493557,222.14648085284745,223.01174926757812,223.01174926757812,40398300,AAPL
2024-11-13,222.79294167641658,225.4185978724207,221.54973296285615,223.89691162109375,223.89691162109375,48566200,AAPL
2024-11-14,223.79747584076947,227.62654977508777,223.77758025105393,226.98008728027344,226.98008728027344,44923900,AAPL
2024-11-15,225.1699449930133,225.6871240415238,223.05152776948486,223.77755737304688,223.77755737304688,47923700,AAPL
2024-11-18,224.0262188410909,228.49183017609323,223.94665165924164,226.7811737060547,226.7811737060547,44633700,AAPL
2024-11-19,225.7467938634959,228.90952454109907,225.42854034251505,227.03973388671875,227.03973388671875,36211800,AAPL
2024-11-20,226.82094870348703,228.68078414631773,224.6627401240164,227.75584411621094,227.75584411621094,35169600,AAPL
2024-11-21,227.63651765548505,228.90956230117874,224.4837418395179,227.27847290039062,227.27847290039062,42108300,AAPL
2024-11-22,226.82093004738374,229.46648170496493,226.82093004738374,228.62109375,228.62109375,38168300,AAPL
2024-11-25,230.2024695182051,231.982737654973,228.4918131754458,231.60479736328125,231.60479736328125,90152800,AAPL
2024-11-26,232.06231657216094,234.29015208323423,232.06231657216094,233.7829132080078,233.7829132080078,45986200,AAPL
2024-11-27,233.19611792325418,234.40949083683986,232.53970008294309,233.6536102294922,233.6536102294922,33498400,AAPL
2024-11-29,233.5342752849028,236.51797629056327,232.698842645531,236.04058837890625,236.04058837890625,28481400,AAPL
2024-12-02,235.9809120539101,239.4817769036961,235.8715090788613,238.28829956054688,238.28829956054688,48137100,AAPL
2024-12-03,238.5070985351772,241.44106801091166,237.60203896586935,241.3316650390625,241.3316650390625,38861000,AAPL
2024-12-04,241.55048900644988,242.78375758332757,239.9392952788925,241.68972778320312,241.68972778320312,44383900,AAPL
2024-12-05,242.66439419479377,243.21139387343032,240.81449907142343,241.71954345703125,241.71954345703125,40033900,AAPL
2024-12-06,241.5902721155965,243.3009285590703,240.76477968960373,241.52064514160156,241.52064514160156,36870600,AAPL
2024-12-09,240.51612576959502,245.89673657618508,240.43655859300793,245.40939331054688,245.40939331054688,44649200,AAPL
2024-12-10,245.54863486606115,246.86147053083658,244.00705305092782,246.42385864257812,246.42385864257812,36914800,AAPL
2024-12-11,246.61284788068906,249.43741460876686,244.92207178593077,245.1508331298828,245.1508331298828,45205800,AAPL
2024-12-12,245.54864477609476,247.3885997871069,244.34521203481492,246.6128387451172,246.6128387451172,32777500,AAPL
2024-12-13,246.4736080363398,247.9356076049288,244.9021903118032,246.78192138671875,246.78192138671875,33155300,AAPL
2024-12-16,246.6426692963963,250.01425073054844,246.3045049916291,249.67608642578125,249.67608642578125,51694800,AAPL
2024-12-17,248.72130738305802,252.45093348613432,248.42293425963442,252.1028289794922,252.1028289794922,51356400,AAPL
2024-12-18,250.79000225751088,252.89847930582897,246.39401822090946,246.70233154296875,246.70233154296875,56774100,AAPL
2024-12-19,246.15530978567995,250.63086087269232,245.74753371109492,248.432861328125,248.432861328125,60882300,AAPL
2024-12-20,246.6923766885693,253.61456925624782,244.35515348919105,253.1073455810547,253.1073455810547,147495300,AAPL
2024-12-23,253.38581895601413,254.26102752773247,252.07298333460633,253.8831024169922,253.8831024169922,40858800,AAPL
2024-12-24,254.10189725758943,256.80710520536127,253.90297174117552,256.79718017578125,256.79718017578125,23234700,AAPL
2024-12-26,256.7872242633273,258.6868506395932,256.2302692406472,257.6127014160156,257.6127014160156,27237100,AAPL
2024-12-27,256.42919055718573,257.29448932345014,251.68511699924173,254.2013702392578,254.2013702392578,42355300,AAPL
2024-12-30,250.85960874260036,252.1227129740064,249.3876539575231,250.82977294921875,250.82977294921875,35557500,AAPL
2024-12-31,251.0684930674946,251.90392569582917,248.07483671879714,249.05946350097656,249.05946350097656,39480700,AAPL
2025-01-02,247.57756417344766,247.74665392379396,240.5062071395791,242.52517700195312,242.52517700195312,55740700,AAPL
2025-01-03,242.03782653808594,242.85336358935695,240.5758118291158,242.03782653808594,242.03782653808594,40244100,AAPL
2025-01-06,242.98266113735735,245.98625772407811,241.87869116125097,243.66891479492188,243.66891479492188,45045600,AAPL
2025-01-07,241.6598791297847,244.215923537777,240.0387452815234,240.89407348632812,240.89407348632812,40856000,AAPL
2025-01-08,240.6056476428208,242.38593107741448,238.74581220273618,241.38140869140625,241.38140869140625,37628900,AAPL
2025-01-10,238.70602211575698,238.85521627248303,231.73411285331812,235.56320190429688,235.56320190429688,61710900,AAPL
2025-01-13,232.2612269401141,233.39503269669683,228.47192915300568,233.12649536132812,233.12649536132812,49630700,AAPL
2025-01-14,233.47460320476435,234.8371551382162,231.20699165927476,232.01258850097656,232.01258850097656,39435300,AAPL
2025-01-15,233.36518970349533,237.66172623332486,233.15632396556444,236.57763671875,236.57763671875,39832000,AAPL
2025-01-16,236.06047699847062,236.7168796666606,226.79110553013876,227.0198516845703,227.0198516845703,71759100,AAPL
2025-01-17,230.85888730040747,231.0279618693864,227.2386640256131,228.7305145263672,228.7305145263672,68488300,AAPL
2025-01-21,222.783001089375,223.20071739531107,218.1881065481907,221.43038940429688,221.43038940429688,98070400,AAPL
2025-01-22,218.59586314481808,222.90233985709415,218.59586314481808,222.61392211914062,222.61392211914062,64126500,AAPL
2025-01-23,223.51898889751178,225.7965406078772,221.09224303438072,222.44485473632812,222.44485473632812,60234800,AAPL
2025-01-24,223.5587751677507,224.40416321125562,220.207089142254,221.56964111328125,221.56964111328125,54697900,AAPL
2025-01-27,222.80290778981754,230.888727332658,222.76311661057002,228.61117553710938,228.61117553710938,94863400,AAPL
2025-01-28,229.59580038333414,238.88505261672515,229.5560092044273,236.9655303955078,236.9655303955078,75707600,AAPL
2025-01-29,232.84798871941953,238.55680796680022,232.73858575763728,238.0595245361328,238.0595245361328,45486100,AAPL
2025-01-30,237.3732826437262,239.48175963713217,235.92122345328548,236.2991485595703,236.2991485595703,55658300,AAPL
2025-01-31,245.8470107317681,245.8470107317681,232.1717149504871,234.71780395507812,234.71780395507812,100959800,AAPL
2025-02-03,228.74047863837345,230.5704783469237,224.47377754488917,226.77122497558594,226.77122497558594,73063300,AAPL
2025-02-04,226.0153670030395,231.8634262398647,225.4186206897715,231.53521728515625,231.53521728515625,45067300,AAPL
2025-02-05,227.2883891710869,231.4058958330951,227.0298072213747,231.2069854736328,231.2069854736328,39620300,AAPL
2025-02-06,230.03338922164468,232.5297620441898,229.17806101517482,231.95291137695312,231.95291137695312,29925300,AAPL
2025-02-07,231.33629458433444,232.72868233994458,226.02529517161955,226.39329528808594,226.39329528808594,39707200,AAPL
2025-02-10,228.57377553913867,229.58933825388894,226.21404995469493,226.66209411621094,226.66209411621094,33115600,AAPL
2025-02-11,227.20971719471092,234.2092091135714,227.1400288616486,231.61053466796875,231.61053466796875,53718400,AAPL
2025-02-12,230.19669384296432,235.9317077791751,229.67894615315132,235.8420867919922,235.8420867919922,45243300,AAPL
2025-02-13,235.8819260401158,241.28835511000761,234.54774465400956,240.48187255859375,240.48187255859375,53614100,AAPL
2025-02-14,240.203075232316,244.48441805735465,239.9442089936196,243.53854370117188,243.53854370117188,40896200,AAPL
2025-02-18,243.0905000064508,244.11602908498713,240.7905267294893,243.40911865234375,243.40911865234375,48822500,AAPL
2025-02-19,243.5982928571997,244.94242536854557,242.10480216065562,243.807373046875,243.807373046875,32204200,AAPL
2025-02-20,243.87709210808563,245.7091038330044,243.2299036494767,244.7632293701172,244.7632293701172,32316900,AAPL
2025-02-21,244.88267886995578,247.6107939080121,244.155851012499,244.4844207763672,244.4844207763672,53197400,AAPL
2025-02-24,243.86711335623195,247.7800669312537,243.3593319822528,246.0277099609375,246.0277099609375,51326400,AAPL
2025-02-25,246.92381259977986,248.91513366913293,243.84722519384715,245.9679718017578,245.9679718017578,48013300,AAPL
2025-02-26,243.26972892021308,243.91690216055417,238.0922974197643,239.31695556640625,239.31695556640625,44433600,AAPL
2025-02-27,238.3710773588995,241.4078448384303,236.0312691715791,236.27023315429688,236.27023315429688,41153600,AAPL
2025-02-28,235.92174819400608,241.03944246427386,229.2010399398617,240.79052734375,240.79052734375,56833400,AAPL
2025-03-03,240.74073286620586,242.97101773746803,235.0853888180174,236.99705505371094,236.99705505371094,47184000,AAPL
2025-03-04,236.6784633674393,239.02822274747484,233.6615980851158,234.9061737060547,234.9061737060547,53798100,AAPL
2025-03-05,234.3983766092207,235.5234777567522,228.23523611666363,234.7169952392578,234.7169952392578,47227600,AAPL
2025-03-06,233.42263965762712,236.82779659290307,232.14819548977783,234.30877685546875,234.30877685546875,45170400,AAPL
2025-03-07,234.08974000390756,240.32256924437755,233.74125275300776,238.03256225585938,238.03256225585938,46273600,AAPL
2025-03-10,234.5178647329352,235.13518456664028,223.24699590534985,226.4928436279297,226.4928436279297,72071200,AAPL
2025-03-11,222.8387656202518,224.8599551431671,216.50636447278404,219.88165283203125,219.88165283203125,76137400,AAPL
2025-03-12,219.18469713036333,220.78771110845915,213.9773970817033,216.0384063720703,216.0384063720703,62547500,AAPL
2025-03-13,215.01287598245443,215.899013195213,207.51555384047248,208.77008056640625,208.77008056640625,61368300,AAPL
2025-03-14,210.3332680009786,213.02154815111564,208.67051688888432,212.5635528564453,212.5635528564453,60107600,AAPL
2025-03-17,212.3843419118567,214.28605714072168,209.0588394397278,213.07135009765625,213.07135009765625,48073400,AAPL
2025-03-18,213.23066628615402,214.2163605039484,210.57225445008928,211.7670440673828,211.7670440673828,42432400,AAPL
2025-03-19,213.29037609854922,217.81066771448715,212.82241448637808,214.3059539794922,214.3059539794922,54385400,AAPL
2025-03-20,213.0614056873257,216.54621759798974,211.29908226715483,213.17092895507812,213.17092895507812,48862900,AAPL
2025-03-21,210.6419412957371,217.8903488075446,210.36315756009637,217.3228302001953,217.3228302001953,94127800,AAPL
2025-03-24,220.04097309502072,220.5188858867363,217.63147647971348,219.7721405029297,219.7721405029297,44299500,AAPL
2025-03-25,219.81198848707382,223.1275400112128,219.12498026235477,222.779052734375,222.779052734375,34493600,AAPL
2025-03-26,222.5400680439697,224.04352508950674,219.51326687455483,220.56866455078125,220.56866455078125,34466100,AAPL
2025-03-27,220.4292696466093,224.0136533961419,219.6028696378956,222.87860107421875,222.87860107421875,37094800,AAPL
2025-03-28,220.7080664246457,222.8387793372666,216.73537546649092,216.9544219970703,216.9544219970703,39818600,AAPL
2025-03-31,216.0682695484103,224.6409066608951,215.29165561007284,221.1660614013672,221.1660614013672,65299300,AAPL
2025-04-01,218.85614379144315,222.70934527111467,217.95008904171658,222.2214813232422,222.2214813232422,36412700,AAPL
2025-04-02,220.35960203797094,224.2128035366635,220.06090083198967,222.91844177246094,222.91844177246094,35905900,AAPL
2025-04-03,204.64803566499702,206.58958563447752,200.37665915579902,202.30824279785156,202.30824279785156,103419000,AAPL
2025-04-04,193.0486144227304,199.01262630823254,186.52703508606032,187.56253051757812,187.56253051757812,125910900,AAPL
2025-04-07,176.43103817745248,193.30748067285785,173.86223225537526,180.6725616455078,180.6725616455078,160466300,AAPL
2025-04-08,185.88979780340043,189.51400113284038,168.4757067407598,171.67176818847656,171.67176818847656,120859500,AAPL
2025-04-09,171.20381523449285,199.7394480269994,171.14407803694525,197.98709106445312,197.98709106445312,184395900,AAPL
2025-04-10,188.24954112448538,193.93475416517637,182.20587449762067,189.5936737060547,189.5936737060547,121880000,AAPL
2025-04-11,185.2924188893916,198.67408279715283,185.2525839628914,197.2901153564453,197.2901153564453,87435900,AAPL
2025-04-14,210.52246440005902,212.01595519155484,200.28707539108044,201.64117431640625,201.64117431640625,101352900,AAPL
2025-04-15,200.98401841430368,202.62685207462172,198.93296032454862,201.26280212402344,201.26280212402344,51343900,AAPL
2025-04-16,197.49920369317184,199.8290454554037,191.53519224238798,193.4269561767578,193.4269561767578,59732400,AAPL
2025-04-17,196.34424488667963,197.9671763411939,193.5763099497932,196.1251983642578,196.1251983642578,52164700,AAPL
2025-04-21,192.43130060162235,192.958999427942,188.98630873883343,192.32177734375,192.32177734375,46742500,AAPL
2025-04-22,195.26894368988752,200.715208155226,195.1196006832811,198.8732452392578,198.8732452392578,52976400,AAPL
2025-04-23,205.10606155750318,207.09738254349836,201.9199510184256,203.71214294433594,203.71214294433594,52929200,AAPL
2025-04-24,204.00088023313933,207.92378505310097,202.0593452871763,207.4657745361328,207.4657745361328,47311000,AAPL
2025-04-25,205.47445049920006,208.8397878176709,205.30519003897632,208.371826171875,208.371826171875,38222300,AAPL
2025-04-28,209.08871177088434,210.5822025692478,206.55974070372147,209.2281036376953,209.2281036376953,38743100,AAPL
2025-04-29,207.78438836336602,211.31898611202763,207.46576971677675,210.29345703125,210.29345703125,36827600,AAPL
2025-04-30,208.39173986928208,212.65316547487808,205.7731479657814,211.57785034179688,211.57785034179688,52286500,AAPL
2025-05-01,208.1726964341785,213.62891164873253,207.99346964638974,212.39430236816406,212.39430236816406,57365700,AAPL
2025-05-02,205.19567188008233,206.0917754590827,201.2827333487594,204.45889282226562,204.45889282226562,101010600,AAPL
2025-05-05,202.21865389928206,203.21431440062256,197.34987465543003,198.02691650390625,198.02691650390625,69018500,AAPL
2025-05-06,197.34988881133353,199.77928784710326,196.16505029893813,197.64857482910156,197.64857482910156,51216500,AAPL
2025-05-07,198.30570335142838,198.574535944944,192.41139491378883,195.39837646484375,195.39837646484375,68536700,AAPL
2025-05-08,196.86199326420865,199.18188402861682,193.83517686729027,196.63299560546875,196.63299560546875,50478900,AAPL
2025-05-09,198.1364339272832,199.6697443694255,196.6827629534363,197.66847229003906,197.66847229003906,36453900,AAPL
2025-05-12,210.32995926202443,210.6290521628615,206.1227607044075,210.15049743652344,210.15049743652344,63775800,AAPL
2025-05-13,209.79158118866218,212.75257189298435,208.36592688565332,212.28399658203125,212.28399658203125,51909300,AAPL
2025-05-14,211.78550901932945,213.29093762104833,209.94113079478424,211.68582153320312,211.68582153320312,49325800,AAPL
2025-05-15,210.31001909194578,212.31393091132972,208.90429308394448,210.80850219726562,210.80850219726562,45029500,AAPL
2025-05-16,211.71573318604425,211.92510277199543,209.1335944967917,210.6190643310547,210.6190643310547,54737900,AAPL
2025-05-19,207.27923550566183,208.84446444770495,203.64029993754312,208.14659118652344,208.14659118652344,46140500,AAPL
2025-05-20,207.03996203611737,207.83753801206538,204.40797196423648,206.232421875,206.232421875,42496600,AAPL
2025-05-21,204.5475404614086,206.41186226922272,200.10108001028593,201.4768829345703,201.4768829345703,59211800,AAPL
2025-05-22,200.1010626250374,202.13486667390606,199.09411717835945,200.74908447265625,200.74908447265625,46742400,AAPL
2025-05-23,193.082445017036,197.1002176461426,192.8730906309023,194.67759704589844,194.67759704589844,78432900,AAPL
2025-05-27,197.6983910952664,200.1309909415137,196.83102019804124,199.60260009765625,199.60260009765625,56288500,AAPL
2025-05-28,199.98143310081724,202.11494001836002,199.2935240345892,199.81195068359375,199.81195068359375,45339700,AAPL
2025-05-29,202.9623758748587,203.19167383577107,197.90775006205254,199.3433837890625,199.3433837890625,51396800,AAPL
2025-05-30,198.7651407343476,201.3472946799051,196.18300200128658,200.24066162109375,200.24066162109375,70819900,AAPL
2025-06-02,199.67238359256916,201.51677709467234,199.51286535414474,201.08807373046875,201.08807373046875,35423300,AAPL
2025-06-03,200.73913195165156,203.1517881077627,200.35031577799097,202.65330505371094,202.65330505371094,46381600,AAPL
2025-06-04,202.29440469878628,205.6143037964219,201.48686455307688,202.20468139648438,202.20468139648438,43604000,AAPL
2025-06-05,202.88261988754903,204.12882762641604,199.54277706238673,200.02133178710938,200.02133178710938,55126100,AAPL
2025-06-06,202.3841235560851,205.07592905349443,201.4370087789868,203.30133056640625,203.30133056640625,46607700,AAPL
2025-06-09,203.76991971327615,205.37503589356555,199.4131823149893,200.83883666992188,200.83883666992188,72862600,AAPL
2025-06-10,199.9914028593682,203.73002568042446,199.96149509379936,202.05511474609375,202.05511474609375,54672600,AAPL
2025-06-11,202.88260699920767,203.8795731269679,197.80805305990708,198.1769256591797,198.1769256591797,60989900,AAPL
2025-06-12,198.47602627663701,199.07419684911244,196.7612432530472,198.5956573486328,198.5956573486328,43904600,AAPL
2025-06-13,199.12405177447246,199.76210952406473,195.1062792678608,195.85400390625,195.85400390625,51447300,AAPL
2025-06-16,196.701426450214,198.08720880439395,195.96366601516638,197.81802368164062,197.81802368164062,43020700,AAPL
2025-06-17,196.6017124403596,197.78810453675544,194.61775963167673,195.04644775390625,195.04644775390625,38856200,AAPL
2025-06-18,195.34553910938874,196.97059871241268,194.4781834746436,195.9835968017578,195.9835968017578,45394700,AAPL
2025-06-20,197.63856158511533,201.08805571006383,196.26274352386682,200.3901824951172,200.3901824951172,96813500,AAPL
2025-06-23,201.01829760639046,201.68626312768808,198.35639970659372,200.88868713378906,200.88868713378906,55814300,AAPL
2025-06-24,201.97536755465325,202.8227948624406,199.59261907789957,199.69232177734375,199.69232177734375,54064000,AAPL
2025-06-25,200.83883469818846,203.05210084338043,200.01135094007643,200.94850158691406,200.94850158691406,39525700,AAPL
2025-06-26,200.81887060840756,202.0252062612044,198.85486142223453,200.3901824951172,200.3901824951172,50799100,AAPL
2025-06-27,201.2774955925489,202.60346239871808,199.39323017588663,200.46995544433594,200.46995544433594,73188600,AAPL
2025-06-30,201.39712965217615,206.7608124915243,198.6554726965608,204.54754638671875,204.54754638671875,91912800,AAPL
2025-07-01,206.04299395149746,209.55231908550664,205.51460310500556,207.18951416015625,207.18951416015625,78788900,AAPL
2025-07-02,208.2761972389462,212.69274987948137,207.5085290616707,211.7954864501953,211.7954864501953,67941800,AAPL
2025-07-03,211.5063683517463,213.9987837940836,211.16740350258758,212.90213012695312,212.90213012695312,34955800,AAPL
2025-07-07,212.03474730839852,215.57398008038285,208.16652910348648,209.3130340576172,209.3130340576172,50229000,AAPL
2025-07-08,209.46260228799343,210.78855393169587,207.8175989494771,209.37286376953125,209.37286376953125,42848900,AAPL
2025-07-09,208.8943192909964,210.6888614301138,206.59132988433592,210.4994354248047,210.4994354248047,48749400,AAPL
2025-07-10,209.87133445003573,212.83232507172787,209.39279496736208,211.7655792236328,211.7655792236328,44443600,AAPL
